Exp,ID,Block,trial,trial_type,cueLoc,stimLoc,locDist,FixDur,SOA,CTI,stim,response,correct,RTms,prolific_id,xPixels,yPixels,dpi
SaccadeExp7_font12,17660,No,72,exp,5,3,close,1400,650,400,B,B,TRUE,396.842999999993,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,73,exp,5,1,close,200,300,50,R,R,TRUE,328.25900000002,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,74,exp,5,1,close,200,300,50,B,B,TRUE,500.005000000005,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,75,exp,5,2,close,1400,300,50,B,B,TRUE,301.472999999998,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,76,exp,5,1,close,600,300,50,B,B,TRUE,320.900999999954,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,77,exp,5,3,close,1400,650,400,R,R,TRUE,478.709000000032,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,78,exp,5,3,close,1000,650,400,B,B,TRUE,337.841000000015,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,79,exp,5,4,close,1400,300,50,B,B,TRUE,296.969000000041,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,80,exp,5,4,close,1800,650,400,R,R,TRUE,492.459000000032,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,81,exp,5,3,close,200,650,400,P,P,TRUE,432.559000000008,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,82,exp,5,1,close,200,650,400,B,B,TRUE,368.657000000007,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,83,exp,5,2,close,200,650,400,P,P,TRUE,350.418999999994,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,84,exp,5,3,close,600,300,50,R,R,TRUE,372.849000000046,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,85,exp,5,2,close,1400,300,50,R,R,TRUE,445.645000000019,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,86,exp,5,4,close,1800,300,50,R,R,TRUE,562.126999999979,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,87,exp,5,4,close,1000,650,400,P,P,TRUE,394.594999999972,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,88,exp,5,4,close,1400,300,50,P,P,TRUE,413.724999999977,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,89,exp,5,2,close,1000,650,400,R,R,TRUE,641.52099999995,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,90,exp,5,3,close,200,300,50,R,R,TRUE,538.613000000012,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,91,exp,5,4,close,600,650,400,R,R,TRUE,622.731000000029,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,92,exp,5,3,close,600,650,400,R,R,TRUE,384.518999999971,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,93,exp,5,2,close,1800,650,400,P,P,TRUE,367.679000000004,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,94,exp,5,3,close,1000,300,50,R,R,TRUE,406.459000000032,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,95,exp,5,2,close,1000,300,50,R,R,TRUE,651.907000000007,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,96,exp,5,1,close,1800,650,400,P,P,TRUE,343.410999999964,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,97,exp,5,1,close,1000,650,400,B,B,TRUE,422.537000000011,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,98,exp,5,2,close,1800,300,50,B,B,TRUE,304.351000000024,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,99,exp,5,1,close,1000,650,400,R,R,TRUE,559.809000000008,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,100,exp,5,4,close,600,650,400,P,P,TRUE,456.594999999972,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,101,exp,5,1,close,600,300,50,R,R,TRUE,487.02899999998,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,102,exp,5,1,close,600,650,400,R,R,TRUE,362.145000000019,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,103,exp,5,1,close,1800,300,50,P,P,TRUE,410.957000000053,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,104,exp,5,1,close,1000,300,50,P,P,TRUE,492.738999999943,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,105,exp,5,4,close,200,650,400,R,R,TRUE,380.839000000036,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,106,exp,5,3,close,600,650,400,B,B,TRUE,471.951000000001,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,107,exp,5,2,close,200,650,400,R,R,TRUE,527.716999999946,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,108,exp,5,3,close,1000,650,400,R,R,TRUE,470.851000000024,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,109,exp,5,4,close,600,300,50,R,R,TRUE,332.618999999948,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,110,exp,5,4,close,1800,650,400,P,P,TRUE,354.777000000002,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,111,exp,5,4,close,1400,650,400,R,R,TRUE,352.253000000026,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,112,exp,5,1,close,200,300,50,P,P,TRUE,731.667000000016,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,113,exp,5,3,close,1000,300,50,B,B,TRUE,321.795000000042,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,114,exp,5,1,close,1400,650,400,R,R,TRUE,395.603000000003,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,115,exp,5,4,close,1400,300,50,R,R,TRUE,455.067000000039,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,116,exp,5,1,close,1800,650,400,B,B,TRUE,362.562999999966,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,117,exp,5,1,close,1400,650,400,B,B,TRUE,387.03899999999,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,118,exp,5,2,close,1000,300,50,B,B,TRUE,467.153000000049,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,119,exp,5,4,close,600,300,50,B,B,TRUE,302.920999999973,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,120,exp,5,2,close,1000,300,50,P,P,TRUE,267.364999999991,5fb079128b511d47995da086,1920,1080,1
