ID,Block,trial,cueLoc,stimLoc,locDist,FixDur,CTI,stim,response,correct,RTms,prolific_id
17321,Colour,73,5,4,NA,1400,200,P,R,FALSE,67.6669999523438,611e283064ad72ef8c6f48cd
17321,Colour,74,5,3,NA,600,200,B,R,FALSE,344.309000000008,611e283064ad72ef8c6f48cd
17321,Colour,75,5,1,NA,1800,50,B,R,FALSE,207.575999904657,611e283064ad72ef8c6f48cd
17321,Colour,76,5,3,NA,1000,400,P,R,FALSE,115.435999999987,611e283064ad72ef8c6f48cd
17321,Colour,77,5,1,NA,1800,200,R,P,FALSE,303.648999928497,611e283064ad72ef8c6f48cd
17321,Colour,78,5,1,NA,200,50,B,P,FALSE,347.816999976174,611e283064ad72ef8c6f48cd
17321,Colour,79,5,3,NA,1400,50,B,R,FALSE,155.488999904657,611e283064ad72ef8c6f48cd
17321,Colour,80,5,1,NA,1400,50,R,B,FALSE,178.940999976185,611e283064ad72ef8c6f48cd
17321,Colour,81,5,3,NA,600,50,P,P,TRUE,764.240999928501,611e283064ad72ef8c6f48cd
17321,Colour,82,5,3,NA,1800,50,B,B,TRUE,255.890999904601,611e283064ad72ef8c6f48cd
17321,Colour,83,5,2,NA,600,400,P,B,FALSE,348.097999999998,611e283064ad72ef8c6f48cd
17321,Colour,84,5,2,NA,200,50,R,B,FALSE,147.998000000021,611e283064ad72ef8c6f48cd
17321,Colour,85,5,4,NA,1400,200,R,R,TRUE,3.62899995234329,611e283064ad72ef8c6f48cd
17321,Colour,86,5,1,NA,600,200,P,P,TRUE,313.112999928417,611e283064ad72ef8c6f48cd
17321,Colour,87,5,1,NA,600,400,P,R,FALSE,462.138999999966,611e283064ad72ef8c6f48cd
17321,Colour,88,5,1,NA,1400,400,B,P,FALSE,26.0729999284958,611e283064ad72ef8c6f48cd
17321,Colour,89,5,4,NA,600,50,B,P,FALSE,226.24499997613,611e283064ad72ef8c6f48cd
17321,Colour,90,5,2,NA,200,200,B,B,TRUE,353.72399997618,611e283064ad72ef8c6f48cd
17321,Colour,91,5,2,NA,1000,400,B,P,FALSE,340.904999928433,611e283064ad72ef8c6f48cd
17321,Colour,92,5,2,NA,600,400,B,P,FALSE,192.939999999944,611e283064ad72ef8c6f48cd
17321,Colour,93,5,3,NA,200,50,R,P,FALSE,625.786999976146,611e283064ad72ef8c6f48cd
17321,Colour,94,5,1,NA,200,400,B,B,TRUE,841.412999904598,611e283064ad72ef8c6f48cd
17321,Colour,95,5,4,NA,1000,200,P,P,TRUE,425.990999976173,611e283064ad72ef8c6f48cd
17321,Colour,96,5,4,NA,200,400,B,R,FALSE,516.795999904629,611e283064ad72ef8c6f48cd
17321,Colour,97,5,3,NA,1000,200,B,R,FALSE,414.735999904689,611e283064ad72ef8c6f48cd
17321,Colour,98,5,1,NA,600,400,R,R,TRUE,719.640000000014,611e283064ad72ef8c6f48cd
17321,Colour,99,5,3,NA,200,200,B,P,FALSE,497.762999904575,611e283064ad72ef8c6f48cd
17321,Colour,100,5,1,NA,200,200,P,B,FALSE,235.125999976182,611e283064ad72ef8c6f48cd
17321,Colour,101,5,1,NA,200,200,B,R,FALSE,329.792999999947,611e283064ad72ef8c6f48cd
17321,Colour,102,5,3,NA,200,50,P,R,FALSE,304.016999976127,611e283064ad72ef8c6f48cd
17321,Colour,103,5,1,NA,600,50,P,R,FALSE,288.291999904672,611e283064ad72ef8c6f48cd
17321,Colour,104,5,3,NA,1800,50,R,R,TRUE,258.963999928441,611e283064ad72ef8c6f48cd
17321,Colour,105,5,1,NA,1800,200,B,R,FALSE,429.251999999979,611e283064ad72ef8c6f48cd
17321,Colour,106,5,4,NA,600,400,R,R,TRUE,143.378999999957,611e283064ad72ef8c6f48cd
17321,Colour,107,5,1,NA,200,50,R,P,FALSE,237.502999952296,611e283064ad72ef8c6f48cd
17321,Colour,108,5,2,NA,1800,200,P,R,FALSE,201.596999904606,611e283064ad72ef8c6f48cd
17321,Colour,109,5,1,NA,600,200,R,B,FALSE,149.827999952366,611e283064ad72ef8c6f48cd
17321,Colour,110,5,4,NA,600,200,R,P,FALSE,0.537999999942258,611e283064ad72ef8c6f48cd
17321,Colour,111,5,4,NA,1000,200,R,P,FALSE,153.54700000002,611e283064ad72ef8c6f48cd
17321,Colour,112,5,2,NA,1000,200,P,P,TRUE,231.878999904613,611e283064ad72ef8c6f48cd
17321,Colour,113,5,3,NA,1800,400,P,R,FALSE,285.428999952273,611e283064ad72ef8c6f48cd
17321,Colour,114,5,3,NA,1800,200,B,R,FALSE,130.327000000048,611e283064ad72ef8c6f48cd
17321,Colour,115,5,4,NA,1800,400,R,R,TRUE,8.3699999761302,611e283064ad72ef8c6f48cd
17321,Colour,116,5,2,NA,200,200,P,R,FALSE,381.862999952282,611e283064ad72ef8c6f48cd
17321,Colour,117,5,2,NA,1000,50,B,R,FALSE,168.827000000048,611e283064ad72ef8c6f48cd
17321,Colour,118,5,1,NA,1400,200,R,R,TRUE,173.334999904619,611e283064ad72ef8c6f48cd
17321,Colour,119,5,2,NA,1800,400,B,R,FALSE,154.078999976162,611e283064ad72ef8c6f48cd
17321,Colour,120,5,4,NA,1800,200,R,R,TRUE,287.133000000031,611e283064ad72ef8c6f48cd
17321,Colour,121,5,3,NA,1000,400,R,B,FALSE,101.843999928446,611e283064ad72ef8c6f48cd
17321,Colour,122,5,2,NA,1800,50,P,B,FALSE,149.680999904638,611e283064ad72ef8c6f48cd
17321,Colour,123,5,4,NA,200,50,R,P,FALSE,626.0649999046,611e283064ad72ef8c6f48cd
17321,Colour,124,5,1,NA,1400,400,R,P,FALSE,140.222999999998,611e283064ad72ef8c6f48cd
17321,Colour,125,5,3,NA,1400,200,B,R,FALSE,142.105999976164,611e283064ad72ef8c6f48cd
17321,Colour,126,5,1,NA,1800,400,B,P,FALSE,177.358000000007,611e283064ad72ef8c6f48cd
17321,Colour,127,5,3,NA,1400,400,P,P,TRUE,201.652999928454,611e283064ad72ef8c6f48cd
17321,Colour,128,5,3,NA,1400,200,R,P,FALSE,212.362999952282,611e283064ad72ef8c6f48cd
17321,Colour,129,5,4,NA,1800,200,P,B,FALSE,371.803999928525,611e283064ad72ef8c6f48cd
17321,Colour,130,5,4,NA,1400,200,B,B,TRUE,320.738999904599,611e283064ad72ef8c6f48cd
17321,Colour,131,5,3,NA,1400,50,R,B,FALSE,170.050999952364,611e283064ad72ef8c6f48cd
17321,Colour,132,5,1,NA,1000,200,P,B,FALSE,146.858999904594,611e283064ad72ef8c6f48cd
17321,Colour,133,5,1,NA,1400,50,P,R,FALSE,218.870999952313,611e283064ad72ef8c6f48cd
17321,Colour,134,5,4,NA,200,200,B,P,FALSE,1329.7609999046,611e283064ad72ef8c6f48cd
17321,Colour,135,5,2,NA,1000,200,R,B,FALSE,182.256999976118,611e283064ad72ef8c6f48cd
